Date,Open,High,Low,Close,Adj Close,Volume
2014-11-01,75.470001,78.269997,72.510002,77.699997,77.699997,490965300
2014-12-01,77.260002,82.169998,74.400002,78.019997,78.019997,534632100
2015-01-01,78.580002,79.250000,73.540001,75.910004,75.910004,545698200
2015-02-01,76.110001,81.370003,73.449997,78.970001,78.970001,474720300
2015-03-01,79.000000,86.070000,77.260002,82.220001,82.220001,574223800
2015-04-01,82.500000,85.589996,78.320000,78.769997,78.769997,541741400
2015-05-01,79.239998,81.849998,76.790001,79.190002,79.190002,421283500
2015-06-01,79.300003,89.400002,78.660004,85.769997,85.769997,537883500
2015-07-01,86.769997,99.239998,85.230003,94.010002,94.010002,790781000
2015-08-01,93.529999,98.739998,72.000000,89.730003,89.730003,794774200
2015-09-01,86.849998,96.489998,85.720001,89.900002,89.900002,634526500
2015-10-01,90.050003,105.120003,88.360001,101.970001,101.970001,571192300
2015-11-01,101.720001,110.650002,100.470001,104.239998,104.239998,542369900
2015-12-01,104.830002,107.919998,101.459999,104.660004,104.660004,440059600
2016-01-01,101.949997,112.839996,89.370003,112.209999,112.209999,792410100
2016-02-01,112.269997,117.589996,96.820000,106.919998,106.919998,873671800
2016-03-01,107.830002,116.989998,104.400002,114.099998,114.099998,521306200
2016-04-01,113.750000,120.790001,106.309998,117.580002,117.580002,741132500
2016-05-01,117.830002,121.080002,115.879997,118.809998,118.809998,459696300
2016-06-01,118.500000,119.440002,108.230003,114.279999,114.279999,450837700
2016-07-01,114.199997,128.330002,112.970001,123.940002,123.940002,464098700
2016-08-01,123.849998,126.730003,122.070000,126.120003,126.120003,365460600
2016-09-01,126.379997,131.979996,125.599998,128.270004,128.270004,376355700
2016-10-01,128.380005,133.500000,126.750000,130.990005,130.990005,313200300
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,643698100
2016-12-01,118.379997,122.500000,114.000000,115.050003,115.050003,408552500
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378873600
2017-02-01,132.250000,137.179993,130.300003,135.539993,135.539993,384675700
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
2017-04-01,141.929993,151.529999,138.809998,150.250000,150.250000,275502100
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
2017-06-01,151.750000,156.500000,144.559998,150.979996,150.979996,414677400
2017-07-01,151.720001,175.490005,147.800003,169.250000,169.250000,419907600
2017-08-01,169.820007,173.050003,165.000000,171.970001,171.970001,303622800
2017-09-01,172.399994,174.000000,161.559998,170.869995,170.869995,304818300
2017-10-01,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
2017-11-01,182.360001,184.250000,174.000000,177.179993,177.179993,350998700
